abbrev	abstractCompound	charge	creationDate	deltaG	deltaGErr	formula	id	mass	modificationDate	name	owner	pKa	pKb	public	scope	stringcode	structuralCues
Hesperetin 7-O-glucoside		0	1280902482	-297.12	3.28968	C22H24O11	cpd15128	464	1280902482	Hesperetin 7-O-glucoside	master			1		CH2(CH(C(CH(CH(C(O(CH3)C(OHCH{13})))))<13>O(C(CH(C(CH(C(OHC(C(O){1}){15}))O(CH(CH(OHCH(OHCH(OHCH(CH2(OH)O{3})))))<3>))))<15>)))<1>	BWWCdblW:5|BWCHdblW:5|BTWWCdblW:2|RWWCdblO:1|RWCH2W:1|RWCHWW:6|RWOW:2|WOW:2|WCH3:1|PrimOH:6|WCH2W:1|Origin:1|OCCC:1
Naringin chalcone		0	1280902482	-386.17	3.84926	C27H32O14	cpd15129	580	1280902482	Naringin chalcone	master			1		CH(CH(O(C(CH(C(OHC(C(OCH(CH(C(CH(CH(C(OHCH(CH{19})))))<19>)))C(OHCH{20})))))<20>)O(CH(CH2(OH)CH(OHCH(OH){1}))))O(CH(CH(OHCH(OHCH(OHCH(CH3O{3})))))<3>))<1>	BWWCdblW:6|BWCHdblW:6|WketoneW:1|WCHdblW:2|PrimOH:9|WOW:2|RWCHWW:10|RWOW:2|WCH2W:1|WCH3:1|Origin:1|OCCC:2|CCCC:1
Isopentenyl-ATP		-3	1280902482	-642.57	3.11461	C15H21N5O13P3	cpd15130	572	1280902482	Isopentenyl-ATP	master			1		CH(CH(OHCH(OHCH(CH2(O(P(OHO(P(OHO(P(OHOHO))O))O)))O{1})))N(CH(N(C(C(N(CH(N(C(NH(CH2(CH(C(CH3CH3))))){7})))){10})<7>)))<10>)<1>	RWWNW:1|TWWCdblW:2|RWCHWW:4|RWCHdblW:2|RWdblNW:3|RWOW:1|RWCdblWW:1|PrimOH:2|WNHW:1|WCH2W:2|mid_phos:2|WCHdblW:1|WdblCWW:1|WCH3:2|prim_phos:1|Origin:1|HeteroAromatic:2
Isopentenyl-ADP		-2	1280902482	-434.57	3.10743	C15H21N5O10P2	cpd15131	493	1280902482	Isopentenyl-ADP	master			1		CH(CH(OHCH(OHCH(CH2(O(P(OHO(P(OHOHO))O)))O{1})))N(CH(N(C(C(N(CH(N(C(NH(CH2(CH(C(CH3CH3))))){7})))){10})<7>)))<10>)<1>	RWWNW:1|TWWCdblW:2|RWCHWW:4|RWCHdblW:2|RWdblNW:3|RWOW:1|RWCdblWW:1|PrimOH:2|WNHW:1|WCH2W:2|mid_phos:1|WCHdblW:1|WdblCWW:1|prim_phos:1|WCH3:2|Origin:1|HeteroAromatic:2
Isopentenyl adenosine		0	1280902482	-14.07	3.11374	C15H21N5O4	cpd15132	335	1280902482	Isopentenyl adenosine	master			1		CH(CH(OHCH(OHCH(CH2(OH)O{1})))N(CH(N(C(C(N(CH(N(C(NH(CH2(CH(C(CH3CH3))))){7})))){10})<7>)))<10>)<1>	RWWNW:1|TWWCdblW:2|RWCHWW:4|RWCHdblW:2|RWdblNW:3|RWOW:1|RWCdblWW:1|PrimOH:3|WNHW:1|WCH2W:2|WCHdblW:1|WdblCWW:1|WCH3:2|Origin:1|HeteroAromatic:2
trans-Zeatin riboside triphosphate		-3	1280902482	-678.8	3.12779	C15H21N5O14P3	cpd15133	588	1280902482	trans-Zeatin riboside triphosphate	master			1		CH(CH(OHCH(OHCH(CH2(O(P(OHO(P(OHO(P(OHOHO))O))O)))O{1})))N(CH(N(C(C(N(CH(N(C(NH(CH2(CH(C(CH3CH2(OH)))))){7})))){10})<7>)))<10>)<1>	RWWNW:1|TWWCdblW:2|RWCHWW:4|RWCHdblW:2|RWdblNW:3|RWOW:1|RWCdblWW:1|PrimOH:3|WNHW:1|WCH2W:3|mid_phos:2|WCHdblW:1|WdblCWW:1|WCH3:1|prim_phos:1|Origin:1|HeteroAromatic:2
trans-Zeatin riboside diphosphate		-2	1280902482	-470.8	3.12065	C15H21N5O11P2	cpd15134	509	1280902482	trans-Zeatin riboside diphosphate	master			1		CH(CH(OHCH(OHCH(CH2(O(P(OHO(P(OHOHO))O)))O{1})))N(CH(N(C(C(N(CH(N(C(NH(CH2(CH(C(CH3CH2(OH)))))){7})))){10})<7>)))<10>)<1>	RWWNW:1|TWWCdblW:2|RWCHWW:4|RWCHdblW:2|RWdblNW:3|RWOW:1|RWCdblWW:1|PrimOH:3|WNHW:1|WCH2W:3|mid_phos:1|WCHdblW:1|WdblCWW:1|prim_phos:1|WCH3:1|Origin:1|HeteroAromatic:2
trans-Zeatin riboside monoiphosphate		-1	1280902482	-262.8	3.11826	C15H21N5O8P	cpd15135	430	1280902482	trans-Zeatin riboside monoiphosphate	master			1		CH(CH(OHCH(OHCH(CH2(O(P(OHOHO)))O{1})))N(CH(N(C(C(N(CH(N(C(NH(CH2(CH(C(CH3CH2(OH)))))){7})))){10})<7>)))<10>)<1>	RWWNW:1|TWWCdblW:2|RWCHWW:4|RWCHdblW:2|RWdblNW:3|RWOW:1|RWCdblWW:1|PrimOH:3|WNHW:1|WCH2W:3|prim_phos:1|WCHdblW:1|WdblCWW:1|WCH3:1|Origin:1|HeteroAromatic:2
trans-Zeatin riboside		0	1280902482	-50.3	3.132	C15H21N5O5	cpd15136	351	1280902482	trans-Zeatin riboside	master			1		CH(CH(OHCH(OHCH(CH2(OH)O{1})))N(CH(N(C(C(N(CH(N(C(NH(CH2(CH(C(CH3CH2(OH)))))){7})))){10})<7>)))<10>)<1>	RWWNW:1|TWWCdblW:2|RWCHWW:4|RWCHdblW:2|RWdblNW:3|RWOW:1|RWCdblWW:1|PrimOH:4|WNHW:1|WCH2W:3|WCHdblW:1|WdblCWW:1|WCH3:1|Origin:1|HeteroAromatic:2
5-Hydroxyectoine		0	1280902482	-93.14	1.33543	C6H10N2O3	cpd15137	158	1280902482	5-Hydroxyectoine	master			1		CH2(CH(OHCH(C(OHO)N(C(CH3NH{1})))))<1>	RWCHWW:2|RWdblNHpW:1|WCOOn:1|RWCdblWW:1|RWCH2W:1|RWNHW:1|WCH3:1|PrimOH:1|Origin:1
