abbrev	abstractCompound	charge	creationDate	deltaG	deltaGErr	formula	id	mass	modificationDate	name	owner	pKa	pKb	public	scope	stringcode	structuralCues
h2o		0	1280902170	-56.687	0.5	H2O	cpd00001	18	1280902170	H2O	master	15.70:1	-1.80:1	1		OH2	H2O:1
atp		-3	1280902170	-673.85	3.04314	C10H13N5O13P3	cpd00002	504	1280902170	ATP	master	0.84:26|1.83:29|2.95:22|7.72:30|13.03:14	3.97:15|-3.48:6|-3.66:14|-9.18:9	1		CH(CH(OHCH(OHCH(CH2(O(P(OHO(P(OHO(P(OHOHO))O))O)))O{1})))N(CH(N(C(C(N(CH(N(C(NH2){7})))){10})<7>)))<10>)<1>	RWWNW:1|TWWCdblW:2|RWCHWW:4|RWCHdblW:2|RWdblNW:3|RWOW:1|RWCdblWW:1|PrimOH:2|WNH2:1|WCH2W:1|mid_phos:2|prim_phos:1|Origin:1|HeteroAromatic:2
nad		-1	1280902170	-529.59	4.35693	C21H26N7O14P2	cpd00003	662	1280902170	NAD	master	1.80:17|2.56:18|11.56:25|12.32:6|13.12:35	3.94:41|-1.17:25|-3.48:37|-3.66:35|-3.98:6|-9.18:43	1		CH2(CH(CH(OHCH(OHCH(N(CH(N(C(C(N(CH(N(C(NH2){17})))){21})<17>)))<21>O{3}))))<3>O(P(OHOO(P(OHOO(CH2(CH(CH(OHCH(OHCH(N[+1](CH(CH(CH(C(C(ONH2)CH{25})))))<25>O{4}))))<4>)))))))	RWCHWW:8|RWOW:2|PrimOH:4|WCH2W:2|WRdNWRW:1|WPO4nW:1|mid_phos:1|RWCHdblW:6|RWCdblWW:2|WketoneW:1|RWWNW:1|RWdblNW:3|TWWCdblW:2|WNH2:2|amide:1|Origin:1|OCCC:1|HeteroAromatic:3
nadh		-2	1280902170	-524.32	4.26795	C21H27N7O14P2	cpd00004	663	1280902170	NADH	master	1.80:22|2.56:26|12.69:36|13.31:14|14.30:18	3.94:15|-3.48:9|-3.51:18|-3.60:36|-3.66:14|-9.18:6	1		CH2(CH(CH(OHCH(OHCH(N(CH(N(C(C(N(CH(N(C(NH2){17})))){21})<17>)))<21>O{4}))))<4>O(P(OHOO(P(OHOO(CH2(CH(CH(OHCH(OHCH(N(CH(CH(CH2(C(C(ONH2)CH{22})))))<22>O{5}))))<5>)))))))	RWWNW:2|TWWCdblW:2|RWCHWW:8|RWCHdblW:5|RWdblNW:3|RWOW:2|RWCdblWW:2|PrimOH:4|WNH2:2|WCH2W:2|WPO4nW:1|mid_phos:1|RWCH2W:1|WketoneW:1|amide:1|Origin:1|OCCC:1|HeteroAromatic:2
nadph		-3	1280902170	-736.82	4.25788	C21H27N7O17P3	cpd00005	742	1280902170	NADPH	master	1.45:26|2.00:18|2.61:30|6.71:19|13.16:40	3.94:22|-3.48:12|-3.60:40|-9.18:11	1		CH2(CH(CH(OHCH(O(P(OHOHO))CH(N(CH(N(C(C(N(CH(N(C(NH2){17})))){21})<17>)))<21>O{4}))))<4>O(P(OHOO(P(OHOO(CH2(CH(CH(OHCH(OHCH(N(CH(CH(CH2(C(C(ONH2)CH{22})))))<22>O{5}))))<5>)))))))	RWCHWW:8|RWWNW:2|RWOW:2|TWWCdblW:2|RWCHdblW:5|prim_phos:1|RWdblNW:3|PrimOH:3|WCH2W:2|RWCdblWW:2|WPO4nW:1|WNH2:2|mid_phos:1|RWCH2W:1|WketoneW:1|amide:1|Origin:1|OCCC:1|HeteroAromatic:2
nadp		-2	1280902170	-742.09	4.34706	C21H26N7O17P3	cpd00006	741	1280902170	NADP	master	1.45:30|2.00:19|2.61:26|6.71:18|11.66:47	3.94:22|-1.17:47|-3.48:12|-9.18:11	1		CH2(CH(CH(OHCH(O(P(OHOHO))CH(N(CH(N(C(C(N(CH(N(C(NH2){17})))){21})<17>)))<21>O{3}))))<3>O(P(OHOO(P(OHOO(CH2(CH(CH(OHCH(OHCH(N[+1](CH(CH(CH(C(C(ONH2)CH{25})))))<25>O{4}))))<4>)))))))	RWCHWW:8|RWWNW:1|RWOW:2|TWWCdblW:2|RWCHdblW:6|prim_phos:1|RWdblNW:3|PrimOH:3|WCH2W:2|RWCdblWW:2|WPO4nW:1|WNH2:2|mid_phos:1|WRdNWRW:1|WketoneW:1|amide:1|Origin:1|OCCC:1|HeteroAromatic:3
o2		0	1280902170	3.9197	0.5	O2	cpd00007	32	1280902170	O2	master			1		(OO)	O2:1
adp		-2	1280902170	-465.85	3.03579	C10H13N5O10P2	cpd00008	425	1280902170	ADP	master	1.72:25|2.50:22|7.12:26|12.87:14|14.27:18	3.94:15|-3.48:9|-3.51:18|-3.66:14|-9.18:6	1		CH(CH(OHCH(OHCH(CH2(O(P(OHO(P(OHOHO))O)))O{1})))N(CH(N(C(C(N(CH(N(C(NH2){7})))){10})<7>)))<10>)<1>	RWWNW:1|TWWCdblW:2|RWCHWW:4|RWCHdblW:2|RWdblNW:3|RWOW:1|RWCdblWW:1|PrimOH:2|WNH2:1|WCH2W:1|mid_phos:1|prim_phos:1|Origin:1|HeteroAromatic:2
pi		-2	1280902171	-261.974	0.5	HO4P	cpd00009	96	1280902171	Phosphate	master	1.80:3|6.95:2|12.90:4		1		P(OHOHOHO)	orthophosphate:1
coa		-3	1280902171	-751.994	3.45208	C21H33N7O16P3S	cpd00010	764	1280902171	CoA	master	1.46:23|2.01:26|2.62:30|6.72:22|10.07:48	3.94:17|-3.48:9|-9.18:8|-9.60:48	1		CH(CH(OHCH(O(P(OHOHO))CH(CH2(O(P(OHO(P(OHO(CH2(C(CH3CH3CH(OHC(ONH(CH2(CH2(C(ONH(CH2(CH2(SH))))))))))))O))O)))O{1})))N(CH(N(C(C(N(CH(N(C(NH2){7})))){10})<7>)))<10>)<1>	RWWNW:1|RWCHWW:4|TWWCdblW:2|RWCHdblW:2|RWOW:1|RWdblNW:3|PrimOH:2|RWCdblWW:1|WCH2W:6|prim_phos:1|WNH2:1|WPO4nW:1|mid_phos:1|WWCWW:1|WWCHW:1|WCH3:2|WketoneW:2|WSH:1|amide:2|WNHW:2|Origin:1|HeteroAromatic:2
co2		0	1280902171	-92.26	0.5	CO2	cpd00011	44	1280902171	CO2	master			1		C(OO)	CO2:1
ppi		-2	1280902171	-480.93	0.5	H2O7P2	cpd00012	176	1280902171	PPi	master	1.65:4|2.36:7|6.68:3|8.47:8		1		O(P(OHOHO)P(OHOHO))	pyrophos:1
nh4		1	1280902171	-18.97	0.5	H4N	cpd00013	18	1280902171	NH3	master		8.86:1	1		NH3	NH4plus:1
udp		-2	1280902171	-605.77	1.88724	C9H12N2O12P2	cpd00014	402	1280902171	UDP	master	1.72:23|2.51:20|7.12:24|9.40:10|13.01:9|14.35:14	-3.51:14|-3.60:9|-3.77:3|-5.70:10|-6.84:2	1		CH(CH(OHCH(OHCH(CH2(O(P(OHO(P(OHOHO))O)))O{1})))N(CH(CH(C(ONH(C(O){10})))))<10>)<1>	RWCHWW:4|RWOW:1|RWWCdblO:2|RWCHdblW:2|PrimOH:2|WCH2W:1|mid_phos:1|prim_phos:1|amide:2|RWWNW:1|RWNHW:1|Origin:1|OCCC:1
fad		-2	1280902171	-529.37	5.38235	C27H31N9O15P2	cpd00015	783	1280902171	FAD	master	1.80:35|2.56:31|5.97:1|12.87:43|14.27:42	3.94:44|-3.48:52|-3.51:42|-3.66:43|-6.69:1|-9.18:46	1		CH2(CH(CH(OHCH(OHCH(N(CH(N(C(C(N(CH(N(C(NH2){15})))){27})<15>)))<27>O{4}))))<4>O(P(OHOO(P(OHOO(CH2(CH(OHCH(OHCH(OHCH2(N(C(CH(C(CH3C(CH3CH(C(N(C(C(N(C(ONH(C(O){19})))){28})<19>)){17})))))<17>)<28>)))))))))))	RWWCdblO:2|RWdblNW:5|TWWCdblW:4|RWWNW:2|BTWWCdblW:2|BWCHdblW:2|BWWCdblW:2|WCH3:2|WCH2W:3|WWCHW:3|WPO4nW:1|PrimOH:5|mid_phos:1|RWCHWW:4|RWOW:1|RWCHdblW:2|RWCdblWW:1|WNH2:1|amide:1|RWNHW:1|Origin:1|OCCN:1|OCNC:1|CCNC:1|HeteroAromatic:2
pydx5p		-1	1280902171	-272	1.6643	C8H9NO6P	cpd00016	246	1280902171	Pyridoxal phosphate	master	1.75:14|6.72:15|7.81:10	4.11:7|-6.04:10	1		CH(C(CH2(O(P(OHOHO)))C(CH(O)C(OHC(CH3N{1})))))<1>	RWCdblWW:4|RWCHdblW:1|WCH2W:1|WCHdblO:1|RWdblNW:1|prim_phos:1|PrimOH:1|WCH3:1|Origin:1|OCCC:1|HeteroAromatic:1
amet		1	1280902171	-66.63	3.67778	C15H23N6O5S	cpd00017	399	1280902171	S-Adenosyl-L-methionine	master	1.70:26|12.86:14|14.25:18	9.41:25|3.92:15|-3.48:9|-3.52:18|-3.66:14|-9.18:6	1		CH(CH(OHCH(OHCH(CH2(S[+1](CH3CH2(CH2(CH(NH2C(OHO))))))O{1})))N(CH(N(C(C(N(CH(N(C(NH2){7})))){10})<7>)))<10>)<1>	RWWNW:1|TWWCdblW:2|RWCHWW:4|RWCHdblW:2|RWdblNW:3|RWOW:1|RWCdblWW:1|PrimOH:2|WNH2:1|WCH2W:3|WSWW:1|WCH3:1|WWCHW:1|WCOOn:1|WNH3:1|Origin:1|HeteroAromatic:2
amp		-1	1280902171	-257.85	3.03334	C10H13N5O7P	cpd00018	346	1280902171	AMP	master	1.78:21|6.77:22|12.87:14|14.27:18	3.92:15|-3.48:9|-3.51:18|-3.66:14|-9.18:6	1		CH(CH(OHCH(OHCH(CH2(O(P(OHOHO)))O{1})))N(CH(N(C(C(N(CH(N(C(NH2){7})))){10})<7>)))<10>)<1>	RWWNW:1|TWWCdblW:2|RWCHWW:4|RWCHdblW:2|RWdblNW:3|RWOW:1|RWCdblWW:1|PrimOH:2|WNH2:1|WCH2W:1|prim_phos:1|Origin:1|HeteroAromatic:2
ahcys		0	1280902171	-76.11	3.13995	C14H20N6O5S	cpd00019	384	1280902171	S-Adenosyl-homocysteine	master	1.81:7|12.88:22|14.29:26	9.50:5|3.92:23|-3.48:17|-3.49:26|-3.66:22|-9.18:14	1		CH(CH(OHCH(OHCH(CH2(S(CH2(CH2(CH(NH2C(OHO))))))O{1})))N(CH(N(C(C(N(CH(N(C(NH2){7})))){10})<7>)))<10>)<1>	WCH2W:3|WSW:1|WWCHW:1|WNH3:1|WCOOn:1|RWWNW:1|TWWCdblW:2|RWCHWW:4|RWCHdblW:2|RWdblNW:3|RWOW:1|RWCdblWW:1|PrimOH:2|WNH2:1|Origin:1|HeteroAromatic:2
pyr		-1	1280902171	-112.69	0.300152	C3H3O3	cpd00020	87	1280902171	Pyruvate	master	2.93:5	-9.58:4	1		(C(OCH3)C(OHO))	WketoneW:1|WCOOn:1|WCH3:1|Origin:1|OCCO:1
fe2		0	1280902171	0	0.5	Fe	cpd00021	56	1280902171	Fe2+	master			1		Fe	Fe:1
accoa		-3	1280902171	-785.83	3.53441	C23H35N7O17P3S	cpd00022	806	1280902171	Acetyl-CoA	master	1.46:22|2.01:26|2.62:30|6.72:23|12.78:38	3.94:17|-3.48:9|-3.77:38|-9.18:8	1		CH(CH(OHCH(O(P(OHOHO))CH(CH2(O(P(OHO(P(OHO(CH2(C(CH3CH3CH(OHC(ONH(CH2(CH2(C(ONH(CH2(CH2(S(C(OCH3))))))))))))))O))O)))O{1})))N(CH(N(C(C(N(CH(N(C(NH2){7})))){10})<7>)))<10>)<1>	RWWNW:1|RWCHWW:4|TWWCdblW:2|RWCHdblW:2|RWOW:1|RWdblNW:3|PrimOH:2|RWCdblWW:1|WCH2W:6|prim_phos:1|WNH2:1|WPO4nW:1|mid_phos:1|WWCWW:1|WWCHW:1|WCH3:3|WketoneW:3|amide:2|WNHW:2|WSW:1|smide:1|Origin:1|HeteroAromatic:2
glu-L		-1	1280902171	-164.13	0.376755	C5H8NO4	cpd00023	146	1280902171	L-Glutamate	master	1.88:6|4.27:9	9.54:4	1		CH2(CH2(C(OHO))CH(NH2C(OHO)))	WWCHW:1|WCH2W:2|WCOOn:2|WNH3:1|Origin:1
akg		-2	1280902171	-188.9	0.38211	C5H4O5	cpd00024	144	1280902171	2-Oxoglutarate	master	2.66:6|3.87:9	-9.67:4	1		CH2(CH2(C(OHO))C(OC(OHO)))	WketoneW:1|WCH2W:2|WCOOn:2|Origin:1|OCCO:1
h2o2		0	1280902171	-32.05	0.5	H2O2	cpd00025	34	1280902171	H2O2	master	11.52:1|14.40:2	-4.19:1|-4.19:2	1		(OHOH)	H2O2:1
udpg		-2	1280902171	-762.55	3.11975	C15H22N2O17P2	cpd00026	564	1280902171	UDP-glucose	master	1.68:24|2.48:20|9.40:10|12.50:31|13.06:9|13.61:35	-3.49:35|-3.51:14|-3.51:34|-3.60:9|-3.74:31|-5.70:10	1		CH2(CH(CH(OHCH(OHCH(N(CH(CH(C(ONH(C(O){16})))))<16>O{2}))))<2>O(P(OHOO(P(OHOO(CH(CH(OHCH(OHCH(OHCH(CH2(OH)O{4})))))<4>))))))	RWCHWW:9|RWOW:2|RWWCdblO:2|RWCHdblW:2|PrimOH:6|WCH2W:2|WPO4nW:1|mid_phos:1|amide:2|RWWNW:1|RWNHW:1|Origin:1|OCCC:1
glc-D		0	1280902171	-218.28	1.54422	C6H12O6	cpd00027	180	1280902171	D-Glucose	master	11.61:11|13.03:6|13.87:12|14.69:10|15.28:8	-2.90:8|-3.49:6|-3.51:10|-3.73:12|-4.09:3|-4.26:11	1		CH(CH2(OH)CH(OHCH(OHCH(OHCH(OHO{1})))))<1>	RWCHWW:5|RWOW:1|WCH2W:1|PrimOH:5|Origin:1
pheme		-2	1280902171	10000000	10000000	C34H30FeN4O4	cpd00028	614	1280902171	Heme	master	3.51:37|4.02:33	5.40:3|4.55:11	1		CH(C(C(CH(CH2)C(CH3C(CH(C(C(CH(CH2)C(CH3C(CH(C(C(CH3C(CH2(CH2(C(OHO)))C(CH(C(C(CH2(CH2(C(OHO)))C(CH3C(N{8}){1})))<8>)N(Fe(N{5,9})){10}))))<10>)N{6}))))<6>))<9>)))<5>)<1>	NoGroup:21|RWCdblWW:8|WCH3:4|WCHdblW:2|WdblCH2:2|WCH2W:4|WCOOn:2|Origin:1|CCCN:4|CCNC:2|CCCC:8|HeteroAromatic:1
ac		-1	1280902172	-88.29	0.5	C2H3O2	cpd00029	59	1280902172	Acetate	master	4.54:3		1		C(OHOCH3)	acetate:1
mn2		2	1280902172	10000000	10000000	Mn	cpd00030	55	1280902172	Mn2+	master			1		Mn[+2]	Mn:1
gdp		-2	1280902172	-516.3	2.74314	C10H13N5O11P2	cpd00031	441	1280902172	GDP	master	1.69:26|2.38:23|7.12:27|10.16:15|12.87:14|14.27:19	3.02:9|-1.18:6|-3.51:19|-3.66:14|-4.25:15	1		CH(CH(OHCH(OHCH(CH2(O(P(OHO(P(OHOHO))O)))O{1})))N(CH(N(C(C(N(C(NH2NH(C(O){6})))){11})<6>)))<11>)<1>	RWWNW:1|TWWCdblW:2|RWCHWW:4|RWCHdblW:1|RWdblNW:2|RWOW:1|RWWCdblO:1|RWCdblWW:1|PrimOH:2|WNH2:1|WCH2W:1|mid_phos:1|prim_phos:1|amide:1|RWNHW:1|Origin:1|OCCC:1|CCNC:1|HeteroAromatic:1
oaa		-2	1280902172	-190.52	0.350545	C4H2O5	cpd00032	130	1280902172	Oxaloacetate	master	2.46:6|4.82:8	-9.87:4	1		(C(OC(OHO))CH2(C(OHO)))	WketoneW:1|WCH2W:1|WCOOn:2|Origin:1|OCCO:1
gly		0	1280902172	-87.73	0.241756	C2H5NO2	cpd00033	75	1280902172	Glycine	master	2.31:3	9.24:5	1		(C(OHO)CH2(NH2))	WCOOn:1|WCH2W:1|WNH3:1|Origin:1
zn2		2	1280902172	10000000	10000000	Zn	cpd00034	65	1280902172	Zn2+	master			1		Zn[+2]	Zn:1
ala-L		0	1280902172	-87.92	0.293304	C3H7NO2	cpd00035	89	1280902172	L-Alanine	master	2.47:1	9.48:6	1		(C(OHO)CH(NH2CH3))	WCOOn:1|WWCHW:1|WCH3:1|WNH3:1|Origin:1
succ		-2	1280902172	-162.96	0.283054	C4H4O4	cpd00036	116	1280902172	Succinate	master	3.83:1|5.41:6		1		(CH2(C(OHO))CH2(C(OHO)))	WCOOn:2|WCH2W:2|Origin:1
uacgam		-2	1280902172	-756.9	3.23624	C17H25N3O17P2	cpd00037	605	1280902172	UDP-N-acetylglucosamine	master	1.69:24|2.48:20|9.40:10|12.80:9|13.38:36|14.14:33	-3.38:33|-3.49:36|-3.51:14|-3.60:9|-4.19:30|-5.70:10	1		CH2(CH(CH(OHCH(OHCH(N(CH(CH(C(ONH(C(O){16})))))<16>O{2}))))<2>O(P(OHOO(P(OHOO(CH(CH(NH(C(OCH3))CH(OHCH(OHCH(CH2(OH)O{4})))))<4>))))))	RWCHWW:9|RWOW:2|RWWCdblO:2|RWCHdblW:2|PrimOH:5|WCH2W:2|WPO4nW:1|mid_phos:1|WketoneW:1|WCH3:1|amide:3|RWWNW:1|RWNHW:1|WNHW:1|Origin:1|OCCC:1
gtp		-3	1280902172	-724.3	2.75126	C10H13N5O14P3	cpd00038	520	1280902172	GTP	master	0.84:27|1.80:30|2.66:23|7.72:31|10.16:15|13.04:14	3.24:9|-1.18:6|-3.66:14|-4.25:15	1		CH(CH(OHCH(OHCH(CH2(O(P(OHO(P(OHO(P(OHOHO))O))O)))O{1})))N(CH(N(C(C(N(C(NH2NH(C(O){6})))){11})<6>)))<11>)<1>	RWWNW:1|TWWCdblW:2|RWCHWW:4|RWCHdblW:1|RWdblNW:2|RWOW:1|RWWCdblO:1|RWCdblWW:1|PrimOH:2|WNH2:1|WCH2W:1|mid_phos:2|prim_phos:1|amide:1|RWNHW:1|Origin:1|OCCC:1|CCNC:1|HeteroAromatic:1
lys-L		1	1280902172	-84.04	0.559228	C6H15N2O2	cpd00039	147	1280902172	L-Lysine	master	2.74:6	10.29:10|9.44:4	1		(CH2(CH(NH2C(OHO)))CH2(CH2(CH2(NH2))))	WWCHW:1|WCH2W:4|WCOOn:1|WNH3:2|Origin:1
glx		-1	1280902172	-111.04	0.269641	C2HO3	cpd00040	73	1280902172	Glyoxalate	master	2.61:3	-9.24:5	1		(C(OHO)CH(O))	WCOOn:1|WCHdblO:1|Origin:1|OCCO:1
asp-L		-1	1280902172	-165.75	0.3447	C4H6NO4	cpd00041	132	1280902172	L-Aspartate	master	1.70:1|5.11:6	9.61:8	1		(CH(NH2C(OHO))CH2(C(OHO)))	WCOOn:2|WWCHW:1|WCH2W:1|WNH3:1|Origin:1
gthrd		-1	1280902172	-220.954	1.54405	C10H16N3O6S	cpd00042	306	1280902172	GSH	master	1.92:1|3.25:13|10.05:18|14.92:7|15.71:10	9.22:15|-4.33:7|-4.44:10|-9.63:18	1		NH(CH(CH2(SH)C(ONH(CH2(C(OHO)))))C(OCH2(CH2(CH(NH2C(OHO))))))	WCOOn:2|WWCHW:2|WCH2W:4|WketoneW:2|WNH3:1|WSH:1|amide:2|WNHW:2|Origin:1
udpgal		-2	1280902172	-762.55	3.11975	C15H22N2O17P2	cpd00043	564	1280902172	UDP-galactose	master	1.68:24|2.48:20|9.40:10|12.50:31|13.06:9|13.61:35	-3.49:35|-3.51:14|-3.51:34|-3.60:9|-3.74:31|-5.70:10	1		CH2(CH(CH(OHCH(OHCH(N(CH(CH(C(ONH(C(O){16})))))<16>O{2}))))<2>O(P(OHOO(P(OHOO(CH(CH(OHCH(OHCH(OHCH(CH2(OH)O{4})))))<4>))))))	RWCHWW:9|RWOW:2|RWWCdblO:2|RWCHdblW:2|PrimOH:6|WCH2W:2|WPO4nW:1|mid_phos:1|amide:2|RWWNW:1|RWNHW:1|Origin:1|OCCC:1
paps		-3	1280902172	-580.35	3.10735	C10H12N5O13P2S	cpd00044	504	1280902172	3-phosphoadenylylsulfate	master	-2.07:29|0.74:26|1.77:21|6.72:22|13.04:11	3.92:17|-3.50:9|-3.67:11|-9.18:8	1		CH(CH(OHCH(O(P(OHOHO))CH(CH2(O(P(OHO(S(OHOO))O)))O{1})))N(CH(N(C(C(N(CH(N(C(NH2){7})))){10})<7>)))<10>)<1>	RWWNW:1|RWCHWW:4|TWWCdblW:2|RWCHdblW:2|RWOW:1|RWdblNW:3|PrimOH:1|RWCdblWW:1|prim_phos:1|WCH2W:1|WNH2:1|mid_phos:1|WSO4:1|Origin:1|HeteroAromatic:2
pap		-2	1280902173	-470.35	3.03799	C10H13N5O10P2	cpd00045	425	1280902173	Adenosine 3-5-bisphosphate	master	1.45:21|2.05:25|6.45:22|7.05:26|13.04:11	3.93:17|-3.48:9|-3.67:11|-9.18:8	1		CH(CH(OHCH(O(P(OHOHO))CH(CH2(O(P(OHOHO)))O{1})))N(CH(N(C(C(N(CH(N(C(NH2){7})))){10})<7>)))<10>)<1>	RWWNW:1|RWCHWW:4|TWWCdblW:2|RWCHdblW:2|RWOW:1|RWdblNW:3|PrimOH:1|RWCdblWW:1|prim_phos:2|WCH2W:1|WNH2:1|Origin:1|HeteroAromatic:2
cmp		-1	1280902173	-345.38	1.91544	C9H13N3O8P	cpd00046	322	1280902173	CMP	master	1.68:19|6.77:20|12.96:9|14.31:14	3.02:10|-3.51:14|-3.60:9|-4.24:3|-7.29:17	1		CH(CH(OHCH(OHCH(CH2(O(P(OHOHO)))O{1})))N(CH(CH(C(NH2N(C(O){9})))))<9>)<1>	RWCHWW:4|RWOW:1|RWWCdblO:1|RWCHdblW:2|PrimOH:2|RWdblNW:1|WCH2W:1|RWCdblWW:1|prim_phos:1|WNH2:1|amide:1|RWWNW:1|Origin:1|OCNC:1|CCCN:1
for		-1	1280902173	-83.9	0.5	CHO2	cpd00047	45	1280902173	Formate	master	4.27:2		1		CH(OHO)	formate:1
so4		-2	1280902173	-177.97	0.5	O4S	cpd00048	96	1280902173	Sulfate	master	-3.03:4|1.90:5		1		S(OHOHOO)	sulfate:1
cbs_168	cpd00487	-1	1280902173	10000000	10000000	CO2R	cpd00049	45	1280902173	Carboxylic acid	master			1		C(ROHO)	WCOOn:1|RW:1|Origin:1
fmn		-1	1280902173	-323.22	2.86902	C17H20N4O9P	cpd00050	455	1280902173	FMN	master	1.78:29|5.91:19|6.84:30|13.19:16|14.27:26|15.26:23	-1.05:8|-3.23:16|-3.37:26|-3.48:23|-6.69:19|-8.80:1	1		CH(C(C(CH(C(CH3C(CH3){1}))N(C(C(N(CH2(CH(OHCH(OHCH(OHCH2(O(P(OHOHO)))))))){3}N(C(ONH(C(O){5})))))<5>)))<3>)<1>	RWWNW:1|BTWWCdblW:2|TWWCdblW:2|WCH2W:2|BWCHdblW:2|RWdblNW:2|WWCHW:3|BWWCdblW:2|RWWCdblO:2|PrimOH:3|WCH3:2|RWNHW:1|prim_phos:1|Origin:1|OCCN:1|OCNC:1|CCNC:1
arg-L		1	1280902173	-73.77	1.56283	C6H15N4O2	cpd00051	175	1280902173	L-Arginine	master	2.41:8	12.41:12|9.12:6|-0.54:7	1		CH2(CH2(NH(C(NH2NH)))CH2(CH(NH2C(OHO))))	WCH2W:3|WWCHW:1|WCOOn:1|WNH3:1|WNHW:1|WdblCWW:1|WNH2:1|WdblNH2:1|Origin:1
ctp		-3	1280902173	-761.38	1.93092	C9H13N3O14P3	cpd00052	480	1280902173	CTP	master	0.84:24|1.78:27|2.74:20|7.72:28|12.96:9|14.31:14	3.35:10|-3.51:14|-3.60:9|-7.25:17	1		CH(CH(OHCH(OHCH(CH2(O(P(OHO(P(OHO(P(OHOHO))O))O)))O{1})))N(CH(CH(C(NH2N(C(O){9})))))<9>)<1>	RWCHWW:4|RWOW:1|RWWCdblO:1|RWCHdblW:2|PrimOH:2|RWdblNW:1|WCH2W:1|RWCdblWW:1|mid_phos:2|WNH2:1|prim_phos:1|amide:1|RWWNW:1|Origin:1|OCNC:1|CCCN:1
gln-L		0	1280902173	-121.69	0.606668	C5H10N2O3	cpd00053	146	1280902173	L-Glutamine	master	2.15:6|16.07:9	9.31:4|-0.88:9	1		CH2(CH2(C(ONH2))CH(NH2C(OHO)))	WWCHW:1|WCH2W:2|WCOOn:1|WNH3:1|WketoneW:1|amide:1|WNH2:1|Origin:1
ser-L		0	1280902173	-124.15	0.312619	C3H7NO3	cpd00054	105	1280902173	L-Serine	master	2.03:5|15.26:7	8.93:4|-2.78:7	1		CH(NH2CH2(OH)C(OHO))	WWCHW:1|WCOOn:1|WCH2W:1|WNH3:1|PrimOH:1|Origin:1
fald		0	1280902173	-31.2	0.5	CH2O	cpd00055	30	1280902173	Formaldehyde	master		-6.54:2	1		(CH2O)	formaldehyde:1
thmpp		-1	1280902173	-368.32	2.56993	C12H17N4O7P2S	cpd00056	423	1280902173	TPP	master	1.73:24|2.52:21|7.13:25	5.53:15|-2.15:13|-8.85:8	1		CH2(C(CH(N(C(CH3N(C(NH2){4})))))<4>N[+1](CH(S(C(CH2(CH2(O(P(OHO(P(OHOHO))O))))C(CH3){11}))))<11>)	WRdNWRW:1|RWCdblWW:5|WCH2W:3|RWCHdblW:2|WCH3:2|RWSW:1|RWdblNW:2|WNH2:1|mid_phos:1|prim_phos:1|Origin:1|HeteroAromatic:2
Alcohol		0	1280902173	10000000	10000000	HOR	cpd00057	18	1280902173	Alcohol	master			1		(OHR)	PrimOH:1|RW:1|Origin:1
cu2		2	1280902173	10000000	10000000	Cu	cpd00058	63	1280902173	Cu2+	master			1		Cu[+2]	Cu2:1
ascb		-1	1280902173	-194.91	1.51465	C6H7O6	cpd00059	175	1280902173	L-Ascorbate	master	3.52:10|8.32:6|13.91:11|14.61:1|16.00:12	-2.90:12|-3.38:11|-7.49:7|-7.57:6|-7.76:10	1		CH(CH(OHCH2(OH))C(OHC(OHC(OO{1}))))<1>	RWCHWW:1|RWCdblWW:2|RWOCOW:1|PrimOH:3|WWCHW:1|WCH2W:1|WOneg:1|Origin:1|OCCC:1
met-L		0	1280902173	-75.91	0.815146	C5H11NO2S	cpd00060	149	1280902173	L-Methionine	master	2.53:5	9.50:4	1		CH2(CH2(S(CH3))CH(NH2C(OHO)))	WWCHW:1|WCOOn:1|WCH2W:2|WNH3:1|WSW:1|WCH3:1|Origin:1
pep		-2	1280902173	-316.08	0.58973	C3H3O6P	cpd00061	166	1280902173	Phosphoenolpyruvate	master	1.12:3|3.55:9|6.30:4		1		(C(CH2C(OHO))O(P(OHOHO)))	prim_phos:1|WdblCWW:1|WCOOn:1|WdblCH2:1|Origin:1|OCCC:1
utp		-3	1280902173	-813.77	1.89903	C9H12N2O15P3	cpd00062	481	1280902173	UTP	master	0.85:24|1.83:27|3.00:20|7.71:28|9.41:10|13.01:9	-3.51:14|-3.60:9|-3.78:3|-5.70:10	1		CH(CH(OHCH(OHCH(CH2(O(P(OHO(P(OHO(P(OHOHO))O))O)))O{1})))N(CH(CH(C(ONH(C(O){10})))))<10>)<1>	RWCHWW:4|RWOW:1|RWWCdblO:2|RWCHdblW:2|PrimOH:2|WCH2W:1|mid_phos:2|prim_phos:1|amide:2|RWWNW:1|RWNHW:1|Origin:1|OCCC:1
ca2		2	1280902174	10000000	10000000	Ca	cpd00063	40	1280902174	Ca2+	master			1		Ca[+2]	Ca:1
orn		1	1280902174	-85.66	0.508698	C5H13N2O2	cpd00064	133	1280902174	Ornithine	master	2.67:5	10.29:9|9.44:4	1		CH2(CH2(CH2(NH2))CH(NH2C(OHO)))	WWCHW:1|WCOOn:1|WCH2W:3|WNH3:2|Origin:1
