abbrev	abstractReaction	code	creationDate	definition	deltaG	deltaGErr	enzyme	equation	id	modificationDate	name	owner	public	reversibility	scope	status	structuralCues	thermoReversibility	transportedAtoms
rxn00681		cpd00040 + cpd00086 <=> cpd01709	1281967881	Glyoxylate + Propanoyl-CoA <= 2-Hydroxyglutarate	695.87	3.52263		cpd00040 + cpd00086 <=> cpd01709	rxn00681	1281967881	rxn00681	master	1	<=		MI:C-21/O-15/N-7/P-3/S-1|CI:2|HI:32	|WCOOn:1|WCHdblO:-1|Origin:-1|OCCO:-1|RWWNW:-1|RWCHWW:-4|TWWCdblW:-2|RWCHdblW:-2|RWOW:-1|RWdblNW:-3|PrimOH:-1|RWCdblWW:-1|WCH2W:-5|prim_phos:-1|WNH2:-1|WPO4nW:-1|mid_phos:-1|WWCWW:-1|WCH3:-3|WketoneW:-3|amide:-2|WNHW:-2|WSW:-1|smide:-1|HeteroAromatic:-2	<=	
2-Hydroxyglutarate glyoxylate-lyase (CoA-propanoylating)		cpd00010 + cpd01709 <=> cpd00001 + cpd00040 + cpd00086	1281967881	CoA + H+ + 2-Hydroxyglutarate <=> H2O + Glyoxylate + Propanoyl-CoA	8.967	1.25569	|2.3.3.11	cpd00010 + cpd00067 + cpd01709 <=> cpd00001 + cpd00040 + cpd00086	rxn00680	1281967881	2-Hydroxyglutarate glyoxylate-lyase (CoA-propanoylating)	master	1	<=>		OK	|PrimOH:-1|WCH2W:-1|WWCHW:-1|WCH3:1|WketoneW:1|WSH:-1|H:-1|WCOOn:-1|H2O:1|WCHdblO:1|OCCO:1|WSW:1|smide:1	<=	
MCITS		cpd00010 + cpd01501 <=> cpd00001 + cpd00032 + cpd00086	1281967881	CoA + H+ + 2-Methylcitrate <=> H2O + Oxaloacetate + Propanoyl-CoA	10.737	1.31301	2.3.3.5|4.1.3.31	cpd00010 + cpd00067 + cpd01501 <=> cpd00001 + cpd00032 + cpd00086	rxn00679	1281967881	2-Methylcitrate oxaloacetate-lyase	master	1	<=		OK	|PrimOH:-1|WCH2W:1|WWCWW:-1|WWCHW:-1|WketoneW:2|WSH:-1|H:-1|WCOOn:-1|H2O:1|OCCO:1|WSW:1|smide:1	<=	
Acetyl-CoA:propanoate CoA-transferase		cpd00022 + cpd00141 <=> cpd00029 + cpd00086	1281967881	Acetyl-CoA + Propanoate <=> ACET + Propanoyl-CoA	-1.54	0.523643	|2.8.3.1	cpd00022 + cpd00141 <=> cpd00029 + cpd00086	rxn00677	1281967881	Acetyl-CoA:propanoate CoA-transferase	master	1	<=>		OK	|WCH3:-1|Origin:-1|WCOOn:-1|acetate:1	<=>	
(S)-2-Methyl-3-oxopropanoyl-CoA:pyruvate carboxyltransferase		cpd00020 + cpd00519 <=> cpd00032 + cpd00086	1281967881	Pyruvate + D-methylmalonyl-CoA <=> Oxaloacetate + Propanoyl-CoA	1.81	0.257149	|2.1.3.1	cpd00020 + cpd00519 <=> cpd00032 + cpd00086	rxn00678	1281967881	(S)-2-Methyl-3-oxopropanoyl-CoA:pyruvate carboxyltransferase	master	1	<=>		OK	|WCH3:-1|WCH2W:2|WWCHW:-1	<=>	
ACACT10rr		cpd00022 + cpd00086 <=> cpd00010 + cpd02124	1281967881	Acetyl-CoA + Propanoyl-CoA <=> CoA + 2-Methylacetoacetyl-CoA	5.246	1.09265	|2.3.1.16	cpd00022 + cpd00086 <=> cpd00010 + cpd02124	rxn00676	1281967881	Propanoyl-CoA:acetyl-CoA C-acyltransferase	master	1	<=>		OK	|WCH2W:-1|WWCHW:1|WSW:-1|smide:-1|WSH:1	<=>	
Propinol adenylate:CoA ligase (AMP-forming)		cpd00010 + cpd03560 <=> cpd00018 + cpd00086	1281967881	CoA + Propinol adenylate <=> AMP + Propanoyl-CoA	-24.586	1.17022	|6.2.1.1|6.2.1.17	cpd00010 + cpd03560 <=> cpd00018 + cpd00086	rxn00675	1281967881	Propinol adenylate:CoA ligase (AMP-forming)	master	1	=>		OK	|prim_phos:1|mid_phos:-1|WSH:-1|WOW:-1|WSW:1|smide:1	=>	
ACS2		cpd00002 + cpd00010 + cpd00141 <=> cpd00012 + cpd00018 + cpd00086	1281967881	ATP + CoA + H+ + Propanoate <=> PPi + AMP + Propanoyl-CoA	-2.486	1.23168	|6.2.1.17|6.2.1.1	cpd00002 + cpd00010 + cpd00067 + cpd00141 <=> cpd00012 + cpd00018 + cpd00086	rxn00674	1281967881	Propanoate:CoA ligase (AMP-forming)	master	1	=>		OK	|mid_phos:-2|Origin:-1|WketoneW:1|WSH:-1|H:-1|WCOOn:-1|pyrophos:1|WSW:1|smide:1	=>	
Propanoyl-CoA:(acceptor) 2,3-oxidoreductase		cpd00015 + cpd00086 <=> cpd00663 + cpd00982	1281967881	FAD + Propanoyl-CoA <=> Acrylyl-CoA + FADH2	11.34	1.81839	|1.3.99.3	cpd00015 + cpd00086 <=> cpd00663 + cpd00982	rxn00673	1281967881	Propanoyl-CoA:(acceptor) 2,3-oxidoreductase	master	1	<=>		OK	|RWdblNW:-2|WCH3:-1|WCH2W:-1|amide:1|RWNHW:2|OCCN:-1|OCNC:-1|CCNC:-1|WCHdblW:1|WdblCH2:1|OCCC:2	<=	
MMCD		cpd00519 <=> cpd00011 + cpd00086	1281967881	H+ + D-methylmalonyl-CoA <=> CO2 + Propanoyl-CoA	-3.09	0.5417	4.1.1.41	cpd00067 + cpd00519 <=> cpd00011 + cpd00086	rxn00672	1281967881	(S)-2-Methyl-3-oxopropanoyl-CoA carboxy-lyase	master	1	=>		OK	|H:-1|WCH2W:1|WWCHW:-1|WCOOn:-1|CO2:1	=>	
