abbrev	abstractReaction	code	creationDate	definition	deltaG	deltaGErr	enzyme	equation	id	modificationDate	name	owner	public	reversibility	scope	status	structuralCues	thermoReversibility	transportedAtoms
		cpd11463 <=> cpd12036	1281967919	Protein <=> L-Arginyl-tRNA	10000000	10000000		cpd11463 <=> cpd12036	rxn05785	1281967919	rxn05785	master	1	<=>		MI:C12/N7/O1/R-1|CI:3|HI:-21	|WNH2:1|WWCHW:-1|WketoneW:-1|RW:-1|WCOOn:-1|amide:-1|WOCOW:1|WCH2W:4|WNH3:1|WdblCWW:1|WdblNH2:1|RWCHWW:4|PrimOH:1|RWOW:1|RWCHdblW:2|TWWCdblW:2|RWdblNW:3|RWWNW:1|RWCdblWW:1|HeteroAromatic:2	<=>	
rxn05784		cpd11463 <=> cpd12003	1281967919	Protein <=> L-Leucyl-tRNA	10000000	10000000		cpd11463 <=> cpd12003	rxn05784	1281967919	rxn05784	master	1	<=>		MI:C12/N4/O1/R-1|CI:2|HI:-19	|WketoneW:-1|RW:-1|WCOOn:-1|amide:-1|WNHW:-1|WOCOW:1|WCH2W:2|WNH3:1|WCH3:2|RWCHWW:4|PrimOH:1|RWOW:1|RWCHdblW:2|TWWCdblW:2|RWdblNW:3|RWWNW:1|RWCdblWW:1|HeteroAromatic:2	<=>	
rxn05783		cpd11463 <=> cpd11770	1281967919	Protein <=> L-Alanyl-tRNA	10000000	10000000		cpd11463 <=> cpd11770	rxn05783	1281967919	rxn05783	master	1	<=>		MI:C9/N4/O1/R-1|CI:2|HI:-13	|WWCHW:-1|WketoneW:-1|RW:-1|WCOOn:-1|amide:-1|WNHW:-1|WOCOW:1|WCH3:1|WNH3:1|RWCHWW:4|PrimOH:1|RWOW:1|WCH2W:1|RWCHdblW:2|TWWCdblW:2|RWdblNW:3|RWWNW:1|RWCdblWW:1|HeteroAromatic:2	<=>	
Phosphoprotein phosphohydrolase		cpd00001 + cpd11698 <=> cpd00009 + cpd11463	1281967919	H2O + Phosphoprotein <=> Phosphate + Protein	10000000	10000000	|3.1.3.16	cpd00001 + cpd11698 <=> cpd00009 + cpd11463	rxn05782	1281967919	Phosphoprotein phosphohydrolase	master	1	<=>		MI:O6/P1/C4/N2/R2|CI:-3|HI:-4		<=>	
ATP:protein phosphotransferase		cpd00002 + cpd11463 <=> cpd00008 + cpd11698	1281967919	ATP + Protein <=> ADP + Phosphoprotein	10000000	10000000	|2.7.1.13|2.7.11.1|2.7.11.8|2.7.11.9|2.7.11.10|2.7.11.11|2.7.11.12|2.7.11.13|2.7.11.17|2.7.11.21|2.7.11.22|2.7.11.24|2.7.11.25|2.7.11.30|2.7.12.1|2.7.12.2	cpd00002 + cpd11463 <=> cpd00008 + cpd11698	rxn05781	1281967919	ATP:protein phosphotransferase	master	1	<=>		MI:C-4/N-2/O-6/P-1/R-2|CI:2|HI:5		<=>	
Reduced ferredoxin:dinitrogen oxidoreductase (ATP-hydrolysing)		cpd03177 + (2) cpd12713 <=> cpd00013	1281967919	2 H+ + Hydrazine + 2 e- <=> NH3	10000000	10000000	|1.18.6.1	(2) cpd00067 + cpd03177 + (2) cpd12713 <=> cpd00013	rxn05780	1281967919	Reduced ferredoxin:dinitrogen oxidoreductase (ATP-hydrolysing)	master	1	<=>		MI:N-1|CI:-2|HI:3		<=>	
rxn05779		cpd00001 + cpd00006 + cpd03077 <=> cpd00005 + cpd00013 + cpd11625	1281967919	H2O + TPN + alpha-Amino acid <=> TPNH + NH3 + 2-Oxo acid	9.927	1.339	|1.4.1.1|1.4.1.2|1.4.1.3|1.4.1.4|1.4.1.5|1.4.1.7|1.4.1.8|1.4.1.9|1.4.1.10|1.4.1.12|1.4.1.15|1.4.1.19|1.4.1.20	cpd00001 + cpd00006 + cpd03077 <=> cpd00005 + cpd00013 + cpd11625	rxn05779	1281967919	rxn05779	master	1	<=>		OK	|H2O:-1|RWWNW:1|RWCHdblW:-1|WNH2:-1|WRdNWRW:-1|WketoneW:1|HeteroAromatic:-1|WWCHW:-1|RWCH2W:1|NH4plus:1|OCCO:1	<=>	
rxn05778		cpd00001 + cpd00003 + cpd03077 <=> cpd00004 + cpd00013 + cpd11625	1281967919	H2O + NAD + alpha-Amino acid <=> NADH + NH3 + 2-Oxo acid	9.927	1.339	|1.4.1.1|1.4.1.2|1.4.1.3|1.4.1.4|1.4.1.5|1.4.1.7|1.4.1.8|1.4.1.9|1.4.1.10|1.4.1.12|1.4.1.15|1.4.1.19|1.4.1.20	cpd00001 + cpd00003 + cpd03077 <=> cpd00004 + cpd00013 + cpd11625	rxn05778	1281967919	rxn05778	master	1	<=>		OK	|H2O:-1|WRdNWRW:-1|RWCHdblW:-1|WketoneW:1|RWWNW:1|WNH2:-1|HeteroAromatic:-1|WWCHW:-1|RWCH2W:1|NH4plus:1|OCCO:1	<=>	
ATP:ammonia phosphotransferase		cpd00002 + cpd00013 <=> cpd00008 + cpd12010	1281967919	ATP + NH3 <=> ADP + Phosphoramide	10000000	10000000	|2.7.3.8	cpd00002 + cpd00013 <=> cpd00008 + cpd12010	rxn05777	1281967919	ATP:ammonia phosphotransferase	master	1	<=>		MI:R2|CI:-1|HI:3	|Origin:1|NH4plus:-1|WNHW:1|RW:2	<=>	
rxn05776		cpd00001 <=> cpd00129	1281967919	H2O <=> L-Proline	-5.853	1.06821	|3.4.11.5	cpd00001 <=> cpd00129	rxn05776	1281967919	rxn05776	master	1	=>		MI:O1/C5/N1|CI:-1|HI:-6	|H2O:-1|RWCHWW:1|WCOOn:1|RWCH2W:3|RWNHW:1|Origin:1	=>	
NADPH:ferrileghemoglobin oxidoreductase		cpd00005 + (2) cpd12158 <=> cpd00006 + (2) cpd12160	1281967919	TPNH + H+ + 2 Ferrileghemoglobin <=> TPN + 2 Ferroleghemoglobin	10000000	10000000	|1.6.2.6	cpd00005 + cpd00067 + (2) cpd12158 <=> cpd00006 + (2) cpd12160	rxn05775	1281967919	NADPH:ferrileghemoglobin oxidoreductase	master	1	<=>		CI:2		<=>	
NADPH:ferricytochrome-c2 oxidoreductase		cpd00005 + (2) cpd11796 <=> cpd00006 + (2) cpd11798	1281967919	TPNH + H+ + 2 Ferricytochrome c2 <=> TPN + 2 Ferrocytochrome c2	10000000	10000000	|1.6.2.5	cpd00005 + cpd00067 + (2) cpd11796 <=> cpd00006 + (2) cpd11798	rxn05774	1281967919	NADPH:ferricytochrome-c2 oxidoreductase	master	1	<=>		CI:2		<=>	
NADH:ferrileghemoglobin oxidoreductase		cpd00004 + (2) cpd12158 <=> cpd00003 + (2) cpd12160	1281967919	NADH + H+ + 2 Ferrileghemoglobin <=> NAD + 2 Ferroleghemoglobin	10000000	10000000	|1.6.2.6	cpd00004 + cpd00067 + (2) cpd12158 <=> cpd00003 + (2) cpd12160	rxn05773	1281967919	NADH:ferrileghemoglobin oxidoreductase	master	1	<=>		CI:2		<=>	
NADH:ferricytochrome-b5 oxidoreductase		cpd00004 + (2) cpd11795 <=> cpd00003 + (2) cpd11797	1281967919	NADH + H+ + 2 Ferricytochrome b5 <=> NAD + 2 Ferrocytochrome b5	10000000	10000000	|1.6.2.2	cpd00004 + cpd00067 + (2) cpd11795 <=> cpd00003 + (2) cpd11797	rxn05772	1281967919	NADH:ferricytochrome-b5 oxidoreductase	master	1	<=>		CI:2		<=>	
Ferrocytochrome c2:oxygen oxidoreductase		cpd00007 + (4) cpd11798 <=> (2) cpd00001 + (4) cpd11796	1281967919	O2 + 4 Ferrocytochrome c2 <=> 2 H2O + 4 Ferricytochrome c2	10000000	10000000	|1.7.2.1	cpd00007 + (4) cpd11798 <=> (2) cpd00001 + (4) cpd11796	rxn05771	1281967919	Ferrocytochrome c2:oxygen oxidoreductase	master	1	<=>		OK		<=>	
[Phosphorylase a] phosphohydrolase		(4) cpd00001 + cpd12067 <=> (4) cpd00009 + (2) cpd12068	1281967919	4 H2O + Phosphorylase a <=> 4 Phosphate + 2 Phosphorylase b	10000000	10000000	|3.1.3.17	(4) cpd00001 + cpd12067 <=> (4) cpd00009 + (2) cpd12068	rxn05770	1281967919	[Phosphorylase a] phosphohydrolase	master	1	<=>		MI:O12/P4|CI:-8|HI:4		<=>	
ATP:phosphorylase-b phosphotransferase		(2) cpd00002 + cpd12068 <=> (2) cpd00008 + cpd12067	1281967919	2 ATP + Phosphorylase b <=> 2 ADP + Phosphorylase a	10000000	10000000	|2.7.11.19	(2) cpd00002 + cpd12068 <=> (2) cpd00008 + cpd12067	rxn05769	1281967919	ATP:phosphorylase-b phosphotransferase	master	1	<=>		MI:O-6/P-2|CI:2		<=>	
rxn05768		(2) cpd12781 <=> cpd00007 + (2) cpd12780	1281967919	2 5-Hydroxy-2-polyprenylphenol <=> O2 + 2 2-Polyprenylphenol	82.8797	0.886587		(2) cpd12781 <=> cpd00007 + (2) cpd12780	rxn05768	1281967919	rxn05768	master	1	<=		OK	|BWWCdblW:-2|BWCHdblW:2|PrimOH:-2|O2:1	<=	
Reduced ferredoxin:dinitrogen oxidoreductase (ATP-hydrolysing)		(2) cpd12713 <=> cpd11640	1281967919	2 H+ + 2 e- <=> H2	10000000	10000000	|1.18.6.1	(2) cpd00067 + (2) cpd12713 <=> cpd11640	rxn05767	1281967919	Reduced ferredoxin:dinitrogen oxidoreductase (ATP-hydrolysing)	master	1	<=>		CI:-2		<=>	
Sulochrin:oxygen oxidoreductase (cyclizing, (-)-specific)		cpd00007 + (2) cpd00385 <=> (2) cpd00001 + (2) cpd12243	1281967919	O2 + 2 Sulochrin <=> 2 H2O + 2 (-)-Bisdechlorogeodin	10000000	10000000	|1.21.3.5	cpd00007 + (2) cpd00385 <=> (2) cpd00001 + (2) cpd12243	rxn05766	1281967919	Sulochrin:oxygen oxidoreductase (cyclizing, (-)-specific)	master	1	<=>		MI:O-14/C-34|HI:28		<=>	
Sulochrin:oxygen oxidoreductase (cyclizing, (+)-specific)		cpd00007 + (2) cpd00385 <=> (2) cpd00001 + (2) cpd12242	1281967919	O2 + 2 Sulochrin <=> 2 H2O + 2 (+)-Bisdechlorogeodin	10000000	10000000	|1.21.3.4	cpd00007 + (2) cpd00385 <=> (2) cpd00001 + (2) cpd12242	rxn05765	1281967919	Sulochrin:oxygen oxidoreductase (cyclizing, (+)-specific)	master	1	<=>		MI:O-14/C-34|HI:28		<=>	
Thiol:oxygen oxidoreductase		cpd00007 + (4) cpd11884 <=> (2) cpd00001 + (2) cpd12074	1281967919	O2 + 4 R'C(R)SH <=> 2 H2O + 2 R'C(R)S-S(R)CR'	-102.938	3.67178	|1.8.3.2	cpd00007 + (4) cpd11884 <=> (2) cpd00001 + (2) cpd12074	rxn05764	1281967919	Thiol:oxygen oxidoreductase	master	1	=>		OK	|O2:-1|WSH:-4|Origin:-2|H2O:2|WSSW:2	=>	
Dinucleotide nucleotidohydrolase		cpd00001 + cpd11973 <=> (2) cpd01469	1281967919	H2O + Dinucleotide <=> 2 Mononucleotide	-9.313	0.746895	|3.6.1.9	cpd00001 + cpd11973 <=> (2) cpd01469	rxn05763	1281967919	Dinucleotide nucleotidohydrolase	master	1	=>		OK	|H2O:-1|WPO4nW:-1|mid_phos:-1|Origin:1|prim_phos:2	=>	
Chloride:hydrogen-peroxide oxidoreductase		cpd00025 + (2) cpd00099 + (2) cpd11855 <=> (2) cpd00001 + (2) cpd11847	1281967919	H2O2 + 2 HCl + 2 RH <=> 2 H2O + 2 RCl	10000000	10000000	|1.11.1.10	cpd00025 + (2) cpd00099 + (2) cpd11855 <=> (2) cpd00001 + (2) cpd11847	rxn05762	1281967919	Chloride:hydrogen-peroxide oxidoreductase	master	1	<=>		CI:2	|H2O2:-1|Cl:-2|HR:-2|H2O:2|RCl:2	<=>	
Long-chain-alcohol:oxygen oxidoreductase		cpd00007 + (2) cpd11650 <=> (2) cpd00001 + (2) cpd11709	1281967919	O2 + 2 Long-chain alcohol <=> 2 H2O + 2 Long-chain aldehyde	-91.8537	1.20496	|1.1.3.20	cpd00007 + (2) cpd11650 <=> (2) cpd00001 + (2) cpd11709	rxn05761	1281967919	Long-chain-alcohol:oxygen oxidoreductase	master	1	=>		MI:C4|HI:-8	|O2:-1|WCH2W:2|PrimOH:-2|H2O:2|WCHdblO:2	=>	
L-Glutamate:ferredoxin oxidoreductase (transaminating)		(2) cpd00023 + cpd11621 <=> cpd00024 + cpd00053 + cpd11620	1281967919	2 GLU + Oxidizedferredoxin <=> 2-Oxoglutarate + L-Glutamine + 2 H+ + Reducedferredoxin	10000000	10000000	|1.4.7.1	(2) cpd00023 + cpd11621 <=> cpd00024 + cpd00053 + (2) cpd00067 + cpd11620	rxn05760	1281967919	L-Glutamate:ferredoxin oxidoreductase (transaminating)	master	1	<=>		OK		<=>	
Reduced ferredoxin:H+ oxidoreductase		(2) cpd11620 <=> (2) cpd11621 + cpd11640	1281967919	2 H+ + 2 Reducedferredoxin <=> 2 Oxidizedferredoxin + H2	10000000	10000000	|1.12.7.2	(2) cpd00067 + (2) cpd11620 <=> (2) cpd11621 + cpd11640	rxn05759	1281967919	Reduced ferredoxin:H+ oxidoreductase	master	1	<=>		CI:2		<=>	
Reduced ferredoxin:dinitrogen oxidoreductase (ATP-hydrolysing)		(16) cpd00001 + (16) cpd00002 <=> (16) cpd00008 + (16) cpd00009 + (8) cpd12713	1281967919	16 H2O + 16 ATP <=> 16 ADP + 16 Phosphate + 8 H+ + 8 e-	10000000	10000000	|1.18.6.1	(16) cpd00001 + (16) cpd00002 <=> (16) cpd00008 + (16) cpd00009 + (8) cpd00067 + (8) cpd12713	rxn05758	1281967919	Reduced ferredoxin:dinitrogen oxidoreductase (ATP-hydrolysing)	master	1	<=>		OK		<=>	
Polyphosphate polyphosphohydrolase		cpd00001 + cpd11772 <=> cpd12039	1281967919	H2O + Polyphosphate <=> Oligophosphate	10000000	10000000	|3.6.1.10	cpd00001 + cpd11772 <=> cpd12039	rxn05757	1281967919	Polyphosphate polyphosphohydrolase	master	1	<=>		MI:O-1|HI:2		<=>	
SUCD5_BS		(2) cpd00067[e] + cpd00982 + cpd11606 <=> cpd00015 + cpd11451	1281967919	2 H+[e] + FADH2 + Menaquinone 7 <=> FAD + 2 H+ + mql7	-16.979	3.42754	|Undetermined,|Undetermined, 	(2) cpd00067[e] + cpd00982 + cpd11606 <=> cpd00015 + (2) cpd00067 + cpd11451	rxn05749	1281967919	succinate dehydrogenase	master	1	=>		OK	|BTWWCdblW:-2|RWNHW:-2|RWWCdblO:-2|BWWCdblW:4|PrimOH:2|RWdblNW:2|RWCdblWW:-2|amide:-1|OCCC:-5|OCCN:1|OCNC:1|CCNC:1|BBTCdblW:2	=>	H:-2
NTR3B		cpd00209 + cpd11451 <=> cpd00001 + (2) cpd00067[e] + cpd00075 + cpd11606	1281967919	2 H+ + Nitrate + mql7 <=> H2O + 2 H+[e] + Nitrite + Menaquinone 7	-13.188	3.01313	|1.7.99.4,|1.7.99.4, 	(2) cpd00067 + cpd00209 + cpd11451 <=> cpd00001 + (2) cpd00067[e] + cpd00075 + cpd11606	rxn05748	1281967919	nitrate reductase	master	1	<=>		OK	|nitricacid:-1|BBTCdblW:-2|BWWCdblW:-4|PrimOH:-2|H2O:1|nitrite:1|BTWWCdblW:2|RWWCdblO:2|RWCdblWW:2|OCCC:4	<=>	H:2
NADH4		cpd00004 + cpd11606 <=> cpd00003 + cpd11451	1281967919	NADH + H+ + Menaquinone 7 <=> NAD + mql7	-21.529	3.06969	|1.6.5.3	cpd00004 + cpd00067 + cpd11606 <=> cpd00003 + cpd11451	rxn05747	1281967919	NADH dehydrogenase (Menaquinone 7 & cpd00418 proton)	master	1	=>		OK	|RWWNW:-1|RWCHdblW:1|RWCdblWW:-2|PrimOH:2|RWCH2W:-1|OCCC:-4|HeteroAromatic:1|H:-1|BTWWCdblW:-2|RWWCdblO:-2|WRdNWRW:1|BBTCdblW:2|BWWCdblW:4	=>	
MLTG1		cpd00001 + cpd01262 <=> cpd00027 + cpd00179	1281967919	H2O + Maltotriose <=> Glucose + Maltose	-3.113	0.692797		cpd00001 + cpd01262 <=> cpd00027 + cpd00179	rxn05746	1281967919	Maltodextrin glucosidase (maltotriose)	master	1	<=>		OK	|H2O:-1|WOW:-1|PrimOH:2|Origin:1	<=>	
MCA		cpd01501 <=> cpd02799	1281967919	2-Methylcitrate <=> Methylisocitrate	0	2	|Undetermined	cpd01501 <=> cpd02799	rxn05745	1281967919	Methyl-cis-aconitase	master	1	<=>		OK		<=>	
KAS2		(12) cpd00005 + cpd00022 + (6) cpd00070 <=> (5) cpd00001 + (12) cpd00006 + (7) cpd00010 + (6) cpd00011 + cpd03847	1281967919	12 TPNH + Acetyl-CoA + 17 H+ + 6 Malonyl-CoA <=> 5 H2O + 12 TPN + 7 CoA + 6 CO2 + Myristic acid	-101.703	15.2297	|2.3.1.41	(12) cpd00005 + cpd00022 + (17) cpd00067 + (6) cpd00070 <=> (5) cpd00001 + (12) cpd00006 + (7) cpd00010 + (6) cpd00011 + cpd03847	rxn05744	1281967919	b-ketoacyl synthetase (n-C14:0)	master	1	=>		OK	|RWWNW:-12|RWCHdblW:12|WCH2W:6|RWCH2W:-12|WketoneW:-7|Origin:1|HeteroAromatic:12|WSW:-7|smide:-7|H:-17|WCOOn:-5|H2O:5|WRdNWRW:12|WSH:7|CO2:6	=>	
INSCR		cpd00002 + cpd00524 <=> cpd00008 + cpd00095 + cpd00191	1281967919	ATP + 2-Inosose <=> ADP + H+ + Glycerone phosphate + 3-Oxopropanoate	-20.67	1.29878		cpd00002 + cpd00524 <=> cpd00008 + cpd00067 + cpd00095 + cpd00191	rxn05743	1281967919	inositol catabolic reactions (lumped)	master	1	=>		OK	|RWCHWW:-5|PrimOH:-4|WCH2W:3|mid_phos:-1|prim_phos:1|Origin:1|RWWCdblO:-1|H:1|WketoneW:1|WCOOn:1|WCHdblO:1	=>	
GLCP		cpd00009 + cpd00155 <=> cpd00089 + cpd15302	1281967919	Phosphate + H+ + Glycogen <=> Cori ester + glycogen(n-1)	-0.796	0.676477	2.4.1.1	cpd00009 + cpd00067 + cpd00155 <=> cpd00089 + cpd15302	rxn05740	1281967919	cpd00155 phosphorylase	master	1	<=>		OK	|orthophosphate:-1|H:-1|WOW:-1|PrimOH:1|Origin:1|prim_phos:1	<=>	
G3PD4		cpd00080 + cpd11606 <=> cpd00095 + cpd11451	1281967919	GLYC-3-P + Menaquinone 7 <=> Glycerone phosphate + mql7	-17.769	2.88741	|1.1.99.5	cpd00080 + cpd11606 <=> cpd00095 + cpd11451	rxn05739	1281967919	glycerol-3-phosphate dehydrogenase (menaquinone 7)	master	1	=>		OK	|WWCHW:-1|PrimOH:1|BTWWCdblW:-2|RWWCdblO:-2|RWCdblWW:-2|OCCC:-4|WketoneW:1|BBTCdblW:2|BWWCdblW:4	=>	
FDMO4		cpd00007 + cpd00210 + cpd01270 <=> cpd00001 + cpd00050 + cpd00081 + cpd04122	1281967919	O2 + Taurine + FMNH2 <=> H2O + FMN + HSO3- + Aminoacetaldehyde	-71.9142	2.15635		cpd00007 + cpd00210 + cpd01270 <=> cpd00001 + cpd00050 + cpd00081 + cpd04122	rxn05737	1281967919	FMN-dependent monooxygenase (taurine)	master	1	=>		OK	|O2:-1|WCH2W:-1|WSO3:-1|RWNHW:-2|amide:-2|OCCC:-1|H2O:1|RWdblNW:2|OCCN:1|OCNC:1|CCNC:1|sulfite:1|WCHdblO:1	=>	
FACOAL140	rxn05830	cpd00002 + cpd00010 + cpd03847 <=> cpd00012 + cpd00018 + cpd01695	1281967919	ATP + CoA + H+ + Myristic acid <=> PPi + AMP + Myristoyl-CoA	-2.486	1.23168	|6.2.1.3	cpd00002 + cpd00010 + cpd00067 + cpd03847 <=> cpd00012 + cpd00018 + cpd01695	rxn05736	1281967919	fatty-acid--CoA ligase (tetradecanoate)	master	1	=>		OK	|mid_phos:-2|Origin:-1|WketoneW:1|WSH:-1|H:-1|WCOOn:-1|pyrophos:1|WSW:1|smide:1	=>	
ALDD31		cpd00001 + cpd00003 + cpd04122 <=> cpd00004 + cpd00033	1281967919	H2O + NAD + Aminoacetaldehyde <=> NADH + Gly + 2 H+	-9.803	1.17612		cpd00001 + cpd00003 + cpd04122 <=> cpd00004 + cpd00033 + (2) cpd00067	rxn05735	1281967919	aldehyde dehydrogenase (aminoacetaldehyde, NAD)	master	1	<=>		OK	|H2O:-1|WRdNWRW:-1|RWCHdblW:-1|RWWNW:1|HeteroAromatic:-1|WCHdblO:-1|RWCH2W:1|WCOOn:1|H:2	=>	
ALDD30		cpd00001 + cpd00003 + cpd00040 <=> cpd00004 + cpd00180	1281967919	H2O + NAD + Glyoxylate <=> NADH + 2 H+ + Oxalate	-7.063	1.29103		cpd00001 + cpd00003 + cpd00040 <=> cpd00004 + (2) cpd00067 + cpd00180	rxn05734	1281967919	aldehyde dehydrogenase (glyoxylate, NAD)	master	1	<=>		OK	|H2O:-1|WRdNWRW:-1|RWCHdblW:-1|RWWNW:1|Origin:-1|HeteroAromatic:-1|WCOOn:-1|WCHdblO:-1|OCCO:-1|RWCH2W:1|H:2|oxalate:1	<=>	
AHSERL4		cpd00268 + cpd00722 + cpd11421 <=> cpd00029 + cpd00081 + cpd00084 + cpd11420	1281967919	H2S2O3 + O-Acetyl-L-serine + trdrd <=> ACET + HSO3- + L-Cysteine + trdox	-13.986	2.13524	|4.2.99.8|2.5.1.47|2.5.1.49	cpd00268 + cpd00722 + cpd11421 <=> cpd00029 + cpd00081 + cpd00084 + cpd11420	rxn05733	1281967919	cysteine synthase (Thiosulfate)	master	1	<=>		OK	|S2O3H:-1|WWCHW:-2|WCH2W:-2|WOCOW:-1|WCH3:-1|WketoneW:-1|WSH:-1|WNHW:-1|acetate:1|sulfite:1|RWCHWW:2|RWCH2W:2|RWWCdblO:1|RWSW:2|RWNHW:1	=>	
Taurocholic Acid transport in via proton symport		cpd00067[e] + cpd03047[e] <=> cpd03047	1281967918	H+[e] + Taurocholate[e] <=> H+ + Taurocholate	0	2		cpd00067[e] + cpd03047[e] <=> cpd00067 + cpd03047	rxn05731	1281967918	Taurocholic Acid transport in via proton symport	master	1	<=>		OK		<=>	C:-26|H:-45|N:-1|O:-7|S:-1
ACOAD7		cpd00003 + cpd00134 <=> cpd00004 + cpd03126	1281967918	NAD + Palmitoyl-CoA <=> NADH + H+ + (2E)-Hexadecenoyl-CoA	16.55	1.19027	|1.3.99.3	cpd00003 + cpd00134 <=> cpd00004 + cpd00067 + cpd03126	rxn05732	1281967918	acyl-CoA dehydrogenase (hexadecanoyl-CoA)	master	1	<=		OK	|WCH2W:-2|WRdNWRW:-1|RWCHdblW:-1|RWWNW:1|OCCC:1|HeteroAromatic:-1|RWCH2W:1|H:1|WCHdblW:2	<=	
Tetrathionate transport in via proton symport		cpd00067[e] + cpd01414[e] <=> cpd01414	1281967918	H+[e] + Tetrathionate[e] <=> H+ + Tetrathionate	0	2		cpd00067[e] + cpd01414[e] <=> cpd00067 + cpd01414	rxn05730	1281967918	Tetrathionate transport in via proton symport	master	1	<=>		OK		<=>	H:-1|O:-6|S:-4
2-Deoxy-D-Glucose 6-Phosphate transport in via proton symport		cpd00067[e] + cpd03805[e] <=> cpd03805	1281967918	H+[e] + 2-Deoxy-D-glucose 6-phosphate[e] <=> H+ + 2-Deoxy-D-glucose 6-phosphate	0	2		cpd00067[e] + cpd03805[e] <=> cpd00067 + cpd03805	rxn05727	1281967918	2-Deoxy-D-Glucose 6-Phosphate transport in via proton symport	master	1	<=>		OK		<=>	C:-6|H:-13|O:-8|P:-1
Thiosulfate transport in via proton symport		cpd00067[e] + cpd00268[e] <=> cpd00268	1281967918	H+[e] + H2S2O3[e] <=> H+ + H2S2O3	0	2		cpd00067[e] + cpd00268[e] <=> cpd00067 + cpd00268	rxn05728	1281967918	Thiosulfate transport in via proton symport	master	1	<=>		OK		<=>	H:-1|O:-3|S:-2
Phosphono Acetic Acid transport in via proton symport		cpd00067[e] + cpd03385[e] <=> cpd03385	1281967918	H+[e] + Fosfonet[e] <=> H+ + Fosfonet	0	2		cpd00067[e] + cpd03385[e] <=> cpd00067 + cpd03385	rxn05726	1281967918	Phosphono Acetic Acid transport in via proton symport	master	1	<=		OK		<=>	C:-2|H:-3|O:-5|P:-1
2-Aminoethyl Phosphonic Acid transport in via proton symport		cpd00067[e] + cpd02233[e] <=> cpd02233	1281967918	H+[e] + Ciliatine[e] <=> H+ + Ciliatine	0	2		cpd00067[e] + cpd02233[e] <=> cpd00067 + cpd02233	rxn05725	1281967918	2-Aminoethyl Phosphonic Acid transport in via proton symport	master	1	<=>		OK		<=>	C:-2|H:-8|N:-1|O:-3|P:-1
Cytidine- 2'- Monophosphate transport in via proton symport		cpd00067[e] + cpd01991[e] <=> cpd01991	1281967918	H+[e] + 2'-Cytidylic acid[e] <=> H+ + 2'-Cytidylic acid	0	2		cpd00067[e] + cpd01991[e] <=> cpd00067 + cpd01991	rxn05724	1281967918	Cytidine- 2'- Monophosphate transport in via proton symport	master	1	<=>		OK		<=>	C:-9|H:-14|N:-3|O:-8|P:-1
Phosphocreatine transport in via proton symport		cpd00067[e] + cpd01550[e] <=> cpd01550	1281967918	H+[e] + Phosphocreatine[e] <=> H+ + Phosphocreatine	0	2		cpd00067[e] + cpd01550[e] <=> cpd00067 + cpd01550	rxn05723	1281967918	Phosphocreatine transport in via proton symport	master	1	<=>		OK		<=>	C:-4|H:-9|N:-3|O:-5|P:-1
Cytidine- 3',5'-Cyclic Monophosphate transport in via proton symport		cpd00067[e] + cpd00696[e] <=> cpd00696	1281967918	H+[e] + 3',5'-Cyclic CMP[e] <=> H+ + 3',5'-Cyclic CMP	0	2		cpd00067[e] + cpd00696[e] <=> cpd00067 + cpd00696	rxn05719	1281967918	Cytidine- 3',5'-Cyclic Monophosphate transport in via proton symport	master	1	<=>		OK		<=>	C:-9|H:-12|N:-3|O:-7|P:-1
Guanosine- 3',5'-Cyclic Monophosphate transport in via proton symport		cpd00067[e] + cpd00697[e] <=> cpd00697	1281967918	H+[e] + cGMP[e] <=> H+ + cGMP	0	2		cpd00067[e] + cpd00697[e] <=> cpd00067 + cpd00697	rxn05720	1281967918	Guanosine- 3',5'-Cyclic Monophosphate transport in via proton symport	master	1	<=>		OK		<=>	C:-10|H:-12|N:-5|O:-7|P:-1
Adenosine- 2'-Monophosphate transport in via proton symport		cpd00067[e] + cpd00700[e] <=> cpd00700	1281967918	H+[e] + 2'-Adenylic acid[e] <=> H+ + 2'-Adenylic acid	0	2		cpd00067[e] + cpd00700[e] <=> cpd00067 + cpd00700	rxn05721	1281967918	Adenosine- 2'-Monophosphate transport in via proton symport	master	1	<=>		OK		<=>	C:-10|H:-14|N:-5|O:-7|P:-1
Trimetaphosphate transport in via proton symport		cpd00067[e] + cpd00793[e] <=> cpd00793	1281967918	H+[e] + TMP[e] <=> H+ + TMP	0	2		cpd00067[e] + cpd00793[e] <=> cpd00067 + cpd00793	rxn05722	1281967918	Trimetaphosphate transport in via proton symport	master	1	<=>		OK		<=>	C:-12|H:-18|N:-4|O:-4|P:-1|S:-1
Tripolyphosphate transport in via proton symport		cpd00067[e] + cpd00421[e] <=> cpd00421	1281967918	H+[e] + Triphosphate[e] <=> H+ + Triphosphate	0	2		cpd00067[e] + cpd00421[e] <=> cpd00067 + cpd00421	rxn05717	1281967918	Tripolyphosphate transport in via proton symport	master	1	<=		OK		<=>	H:-2|O:-10|P:-3
Phosphoryl Choline transport in via proton symport		cpd00067[e] + cpd00457[e] <=> cpd00457	1281967918	H+[e] + Phosphocholine[e] <=> H+ + Phosphocholine	0	2		cpd00067[e] + cpd00457[e] <=> cpd00067 + cpd00457	rxn05718	1281967918	Phosphoryl Choline transport in via proton symport	master	1	<=>		OK		<=>	C:-5|H:-15|N:-1|O:-4|P:-1
