rxn_id	met_id	met_name	met_formula
EX_cpd00136_e0	cpd00136_e0	4-Hydroxybenzoate_e0	C7H5O3
EX_cpd00119_e0	cpd00119_e0	L-Histidine_e0	C6H9N3O2
EX_cpd00162_e0	cpd00162_e0	Aminoethanol_e0	C2H8NO
EX_cpd00164_e0	cpd00164_e0	Glucuronate_e0	C6H9O7
EX_cpd00041_e0	cpd00041_e0	L-Aspartate_e0	C4H6NO4
EX_cpd00224_e0	cpd00224_e0	L-Arabinose_e0	C5H10O5
EX_cpd00066_e0	cpd00066_e0	L-Phenylalanine_e0	C9H11NO2
EX_cpd03725_e0	cpd03725_e0	Fe(III)dicitrate_e0	C12H22FeO14
EX_cpd00550_e0	cpd00550_e0	D-Serine_e0	C3H7NO3
EX_cpd03048_e0	cpd03048_e0	Isethionate_e0	C2H5O4S
EX_cpd00154_e0	cpd00154_e0	Xylose_e0	C5H10O5
EX_cpd00059_e0	cpd00059_e0	L-Ascorbate_e0	C6H7O6
EX_cpd00129_e0	cpd00129_e0	L-Proline_e0	C5H9NO2
EX_cpd00151_e0	cpd00151_e0	Thymine_e0	C5H6N2O2
EX_cpd00396_e0	cpd00396_e0	L-Rhamnose_e0	C6H12O5
EX_cpd00176_e0	cpd00176_e0	2-keto-3-deoxygluconate_e0	C6H9O6
EX_cpd04099_e0	cpd04099_e0	Phosphonate_e0	H2O3P
EX_cpd00098_e0	cpd00098_e0	Choline_e0	C5H14NO
EX_cpd00033_e0	cpd00033_e0	Glycine_e0	C2H5NO2
EX_cpd00156_e0	cpd00156_e0	L-Valine_e0	C5H11NO2
EX_cpd00054_e0	cpd00054_e0	L-Serine_e0	C3H7NO3
EX_cpd00132_e0	cpd00132_e0	L-Asparagine_e0	C4H8N2O3
EX_cpd01262_e0	cpd01262_e0	Amylotriose_e0	C18H32O16
EX_cpd00121_e0	cpd00121_e0	L-Inositol_e0	C6H12O6
EX_cpd00609_e0	cpd00609_e0	D-Glucarate_e0	C6H8O8
EX_cpd03424_e0	cpd03424_e0	Vitamin B12_e0	C62H91CoN13O14PR
EX_cpd00024_e0	cpd00024_e0	2-Oxoglutarate_e0	C5H4O5
EX_cpd00635_e0	cpd00635_e0	Cbl_e0	C62H88CoN13O14P
EX_cpd00654_e0	cpd00654_e0	Deoxycytidine_e0	C9H13N3O4
EX_cpd03847_e0	cpd03847_e0	Myristic acid_e0	C14H27O2
EX_cpd00020_e0	cpd00020_e0	Pyruvate_e0	C3H3O3
EX_cpd09878_e0	cpd09878_e0	Sulfoacetate_e0	C2H2O5S
EX_cpd00108_e0	cpd00108_e0	Galactose_e0	C6H12O6
