id	name	concentration	minflux	maxflux
cpd00209	Nitrate [e0]	1	-1000	1000
cpd00226	HYXN [e0]	1	-1000	1000
cpd09878	Sulfoacetate [e0]	1	-1000	1000
cpd00751	L-Fucose [e0]	1	-1000	1000
cpd00268	H2S2O3 [e0]	1	-1000	1000
cpd01329	Maltohexaose [e0]	1	-1000	1000
cpd00069	L-Tyrosine [e0]	1	-1000	1000
cpd00322	L-Isoleucine [e0]	1	-1000	1000
cpd00059	L-Ascorbate [e0]	1	-1000	1000
cpd03424	Vitamin B12 [e0]	1	-1000	1000
cpd00098	Choline [e0]	1	-1000	1000
cpd08023	methanesulfonate [e0]	1	-1000	1000
cpd00156	L-Valine [e0]	1	-1000	1000
cpd01080	ocdca [e0]	1	-1000	1000
cpd00151	Thymine [e0]	1	-1000	1000
cpd00396	L-Rhamnose [e0]	1	-1000	1000
cpd00066	L-Phenylalanine [e0]	1	-1000	1000
cpd00121	L-Inositol [e0]	1	-1000	1000
cpd00383	Shikimate [e0]	1	-1000	1000
cpd00128	Adenine [e0]	1	-1000	1000
cpd00381	L-Cystine [e0]	1	-1000	1000
cpd00042	GSH [e0]	1	-1000	1000
cpd00166	Calomide [e0]	1	-1000	1000
cpd00731	Ala-Ala [e0]	1	-1000	1000
cpd04098	Arsenite [e0]	1	-1000	1000
cpd00136	4-Hydroxybenzoate [e0]	1	-1000	1000
cpd00182	Adenosine [e0]	1	-1000	1000
cpd00412	Deoxyuridine [e0]	1	-1000	1000
cpd00246	Inosine [e0]	1	-1000	1000
cpd00367	Cytidine [e0]	1	-1000	1000
cpd00184	Thymidine [e0]	1	-1000	1000
cpd00797	(R)-3-Hydroxybutanoate [e0]	1	-1000	1000
cpd00438	Deoxyadenosine [e0]	1	-1000	1000
cpd00681	Choline sulfate [e0]	1	-1000	1000
cpd00249	Uridine [e0]	1	-1000	1000
cpd00277	Deoxyguanosine [e0]	1	-1000	1000
cpd03279	Deoxyinosine [e0]	1	-1000	1000
cpd00266	Carnitine [e0]	1	-1000	1000
cpd00161	L-Threonine [e0]	1	-1000	1000
cpd01155	Cadaverine [e0]	1	-1000	1000
cpd03198	Melibiose [e0]	1	-1000	1000
cpd00210	Taurine [e0]	1	-1000	1000
cpd00395	L-Cysteate [e0]	1	-1000	1000
cpd11575	MOPS [e0]	1	-1000	1000
cpd01015	Cyanate [e0]	1	-1000	1000
cpd00159	L-Lactate [e0]	1	-1000	1000
cpd00870	gamma-butyrobetaine [e0]	1	-1000	1000
cpd00308	Malonate [e0]	1	-1000	1000
cpd00311	Guanosine [e0]	1	-1000	1000
cpd27384	Li+ [e0]	1	-1000	1000
cpd11595	chromate [e0]	1	-1000	1000
